Role,Company,City,Grouped City,State,Month posted,No. of days ago,Level,Job type,Job function,Industry
"Data Analyst (Python, SQL, Excel)",Flipkart,Bengaluru,Bengaluru,Karnataka,November,28,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Jr. Data Analyst (Freshers are welcome to apply),ISS | Institutional Shareholder Services,Mumbai,Mumbai,Maharashtra,November,3,Associate,Full-time,"General Business, Analyst, and Finance","IT Services and IT Consulting, Financial Services, and Management Consulting"
Associate - Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,IBM,Bengaluru,Bengaluru,Karnataka,November,4,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing
Junior Data Analyst,Cargill,Gurgaon,Gurgaon,Haryana,November,2,Associate,Full-time,Information Technology,"Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing"
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Whril: Cryptoasset Custody Service,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Full-time,Not mentioned,Not mentioned,Not mentioned
Junior Data Analyst,Cargill,Bengaluru,Bengaluru,Karnataka,November,2,Associate,Full-time,Information Technology,"Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing"
Data Analyst (New Grad) - India UHR,Cisco,Bengaluru,Bengaluru,Karnataka,November,7,Not Applicable,Full-time,Information Technology,"Computer Hardware Manufacturing, Computer Software, and Computer Networking Products"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,November,14,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst - (New Grad) - India UHR,Cisco,Bengaluru,Bengaluru,Karnataka,November,1,Not Applicable,Full-time,Information Technology,"Computer Hardware Manufacturing, Computer Software, and Computer Networking Products"
Data analyst,Amazon,Bengaluru,Bengaluru,Karnataka,November,2,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,September,62,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,October,31,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Unacademy,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Analyst,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,September,62,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,October,31,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
